Gender,Age_range,Status,Top3_smartphone_activities,Frequent_apps,Daily_usage_duration,Smartphone_importance,Current_brand,Key_factor_online_purchase,Brand_satisfaction,Purchase_problem,Monthly_income,Occupation
Female,26-35,Single,"Product photography, Edit reviews, Online marketplace","Facebook, YouTube, Facebook Messenger, Spotify",3-5 hours,Essential,Apple,Sensor quality,2,Delivery delays,50001-100000,Content creator
Female,36-45,Working,"Watch movies/listen to music, Play games, Cloud apps","Instagram, Facebook, Facebook Messenger, TikTok",>5 hours,Highly essential,Apple,Features,4,Payment security concerns,50001-100000,Business owner
LGBTQ+,56+,Married,"Watch movies/listen to music, Take photos/videos, Social media",WhatsApp,>5 hours,Essential,Realme,Design,4,Complex payment process,20001-30000,Employee
Female,33-40,Working,"Watch movies, Play games, Take photos","YouTube, TikTok",5-6 hours,Not important,Oppo,Reliability,4,Warranty or service concerns,30001-50000,Logistics staff
Female,36-45,Student,"Watch movies, Play games, Take photos","Facebook, TikTok, Line",3-5 hours,Highly essential,Realme,Value for money,3,Limited warranty coverage,Less than 15000,Retired
Female,36-45,Married,"Chat with family, Read e-books, Listen to radio","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok",1-3 hours,Essential,Vivo,Product features,1,Blurry camera,15001-20000,Manager
LGBTQ+,60+,Single,"Watch movies/listen to music, Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, TikTok",1-3 hours,Essential,Apple,Price,2,Concerns about after-sales service,Less than 15000,Freelancer
LGBTQ+,33-40,Working,"Play games, Streaming, Take photos/videos","Facebook, Facebook Messenger, Spotify, TikTok",3-5 hours,Essential,Xiaomi,Product reviews,1,No problems,15001-20000,Student
Female,18-25,Single,"Watch movies/listen to music, Social media",LINE,0-1 hours,Not necessary,Realme 7 5G,Product features,3,Uncertainty about after-sales service,Less than 15000,Investor
LGBTQ+,36-45,Single,"Communication/meetings, Social media","Instagram, Spotify, TikTok",>5 hours,Somewhat important,Redmi,Stability,4,Limited warranty coverage,Less than 15000,Investor
LGBTQ+,60+,Working,"Online meetings, Schedule management, Email",Shopee,1-3 hours,Essential,Other,Brand,2,Difficult return process,Less than 15000,Investor
LGBTQ+,33-40,Married,"Watch movies/listen to music, Play games, Cloud apps","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok",>5 hours,Highly essential,Other,Simplicity,2,Concerns about payment security,Less than 15000,Manager
Male,60+,Working,"Watch movies/listen to music, Take photos/videos","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok",1-3 hours,Somewhat important,Vivo,Product features,3,Concerns about after-sales service,Less than 15000,Content creator
Female,18-25,Married,"Art photography, Video editing, Upload stories","Instagram, Facebook, YouTube, Facebook Messenger, TikTok",5-6 hours,Not important,Realme,Product reviews,3,Issues with delivery,Less than 15000,Content creator
Male,60+,Single,"Read news, Check stocks, Finance","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram",3-5 hours,Not necessary,Other,Stability,3,Product quality doesn't match ads,Less than 15000,Factory worker
LGBTQ+,56+,Working,"Watch movies/listen to music, Communication/meetings, Social media","Facebook, Facebook Messenger, Spotify",3-5 hours,Highly essential,Infinix,Value for money,5,Product is too expensive,Less than 15000,Logistics staff
Male,33-40,Married,"Communication/meetings, Social media","Instagram, YouTube, TikTok",1-3 hours,Not necessary,Apple,Reliability,1,Outdated system,Less than 15000,Private company employee
LGBTQ+,36-45,Single,"Art photography, Video editing, Upload stories","Facebook, TikTok, Line",0-1 hours,Not important,Samsung,Value for money,1,Payment security concerns,30001-50000,Artist
Male,26-35,Student,"Take photos, Listen to music, Social media",YouTube,5-6 hours,Essential,Huawei,Durability,4,Warranty or service concerns,20001-30000,Retired
Male,56+,Married,"Track delivery, Customer chat, Email","Instagram, Facebook Messenger, TikTok",0-1 hours,Not important,Realme 7 5G,Durability,2,Limited warranty coverage,Less than 15000,Civil servant
Male,26-32,Single,"Take photos/videos, Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line",3-5 hours,Not necessary,Apple,Performance,1,Outdated system,Less than 15000,Business owner
LGBTQ+,56+,Working,"Play esports, Stream games, Community chat",Facebook,>5 hours,Not necessary,Other,Price,2,Concerns about after-sales service,Less than 15000,Student
Female,26-32,Single,"Watch movies/listen to music, Play games, Take photos","Instagram, YouTube, TikTok",1-3 hours,Somewhat important,Calculator,Value for money,1,Warranty or service concerns,15001-20000,Logistics staff
LGBTQ+,33-40,Single,"Play games, Take photos/videos, Cloud apps","Instagram, Facebook, YouTube, Facebook Messenger, Telegram",3-5 hours,Not important,Infinix,Sensor quality,4,No problems,Less than 15000,Delivery staff
Male,26-35,Student,"Online meetings, Schedule management, Email",YouTube,>5 hours,Not necessary,Realme,Camera,4,Difficult to compare prices,Less than 15000,Private company employee
Male,26-32,Working,"Play games, Take photos, Watch movies","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok",5-6 hours,Essential,Realme,Features,3,Complex payment process,Less than 15000,Civil servant
LGBTQ+,56+,Working,"Watch movies/listen to music, Play games, Communication/meetings","Instagram, Facebook, YouTube, Facebook Messenger, Spotify",0-1 hours,Not important,Huawei,Camera,3,Product is too expensive,Less than 15000,Investor
Female,36-45,Single,"Take photos, Listen to music, Social media","Instagram, Facebook, Facebook Messenger, TikTok, LINE",1-3 hours,Not important,Apple,Durability,1,Concerns about after-sales service,Less than 15000,Online seller
Male,18-25,Working,"GPS navigation, Check car condition, Listen to podcasts","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok",3-5 hours,Not necessary,Realme,Camera,5,Concerns about payment security,Less than 15000,Investor
Female,56+,Single,"Watch movies/listen to music, Communication/meetings, Social media",Shopee,1-3 hours,Highly essential,Infinix,Ecosystem,5,Product is too expensive,Less than 15000,Delivery staff
Female,33-40,Married,"Watch movies/listen to music, Take photos/videos, Social media","Facebook, YouTube, Facebook Messenger",5-6 hours,Not important,Apple,Battery,5,Issues with delivery,20001-30000,Business owner
Male,18-25,Single,"Watch movies/listen to music, Take photos/videos, Communication/meetings","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line",3-5 hours,Not necessary,Samsung,Sensor quality,3,Device overheats,30001-50000,Freelancer
LGBTQ+,26-32,Single,"Online meetings, Schedule management, Email","Facebook, YouTube, Facebook Messenger",3-5 hours,Highly essential,Realme,Battery,4,Dead pixels on screen,Less than 15000,Private company employee
Male,26-32,Working,"Communication, Take photos, Social media","Instagram, Facebook, TikTok",5-6 hours,Not important,Redmi,Product features,5,Outdated system,Less than 15000,Logistics staff
Male,56+,Working,"Chat with family, Read e-books, Listen to radio","YouTube, TikTok",5-6 hours,Somewhat important,Xiaomi,Product features,2,Payment security concerns,15001-20000,Civil servant
Female,60+,Student,"Take photos/videos, Communication/meetings, Social media",WhatsApp,5-6 hours,Somewhat important,Realme,Performance,4,Payment issues,15001-20000,Housewife
Female,60+,Married,"Watch movies/listen to music, Take photos/videos, Social media","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok",5-6 hours,Highly essential,Xiaomi,Battery,4,Concerns about after-sales service,15001-20000,Business owner
LGBTQ+,26-32,Working,"Watch movies/listen to music, Social media","Instagram, Facebook, YouTube, Spotify, TikTok",1-3 hours,Not important,Samsung,Simplicity,5,Insufficient storage,Less than 15000,Delivery staff
Male,26-32,Married,"Watch movies/listen to music, Play games, Cloud apps",Shopee,3-5 hours,Somewhat important,Oppo,Sensor quality,3,Concerns about after-sales service,15001-20000,Private company employee
Female,60+,Working,"TikTok, Livestream, Search information","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok",0-1 hours,Not important,Realme 7 5G,Battery,3,Blurry camera,Less than 15000,Investor
Female,60+,Working,"Communication, Take photos, Social media","Instagram, Facebook, Facebook Messenger, TikTok, LINE",0-1 hours,Not important,Apple,Battery,2,Payment issues,Less than 15000,Content creator
Male,46-55,Working,"Product photography, Edit reviews, Online marketplace",TikTok,1-3 hours,Essential,Other,Product features,5,System crashes frequently,15001-20000,Manager
Female,60+,Working,"Social media, Take photos/videos, Watch movies/Listen to music","Instagram, Spotify, TikTok",>5 hours,Not important,Realme 7 5G,Performance,1,Difficult to compare prices,Less than 15000,Content creator
Male,18-25,Single,"Watch movies/listen to music, Play games, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",>5 hours,Highly essential,Infinix,Product features,4,Warranty or service concerns,Less than 15000,Student
LGBTQ+,56+,Student,"Take photos/videos, Communication/meetings, Social media",SET,3-5 hours,Highly essential,Realme,Sensor quality,5,Delivery delays,Less than 15000,Factory worker
Female,18-25,Single,"Watch movies/listen to music, Play games, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",>5 hours,Highly essential,Samsung,Product features,5,Warranty or service concerns,Less than 15000,Student
Male,33-40,Working,"Email, , Finance","Instagram, YouTube, Facebook Messenger, TikTok",0-1 hours,Highly essential,Xiaomi,Product reviews,3,Payment security concerns,25001-35000,Online seller
LGBTQ+,60+,Single,"Take photos/videos, Watch movies/Listen to music, Online shopping","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram",0-1 hours,Not necessary,Xiaomi,Ecosystem,3,Difficult return process,15001-20000,Manager
LGBTQ+,36-45,Student,"Play games, Take photos/videos","YouTube, Facebook Messenger, Discord, Wise",5-6 hours,Not important,Realme,Sensor quality,1,Issues with delivery,20001-30000,Student
LGBTQ+,33-40,Student,"Watch movies/listen to music, Play games, Social media","Facebook, YouTube, Facebook Messenger, TikTok",>5 hours,Highly essential,Xiaomi,Product features,5,Issues with delivery,15001-20000,Freelancer
Female,26-32,Single,"Watch movies/listen to music, Play games, Take photos","Instagram, YouTube, TikTok",1-3 hours,Somewhat important,Calculator,Value for money,1,Warranty or service concerns,15001-20000,Logistics staff
Male,46-55,Working,"Play games, Take photos, Watch movies","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram",>5 hours,Highly essential,Redmi,Price,3,Insufficient storage,Less than 15000,Private company employee
Male,26-35,Student,"Communication, Take photos, Social media","Facebook, Facebook Messenger, Spotify, TikTok",0-1 hours,Somewhat important,Vivo,Durability,1,Issues with delivery,20001-30000,Retired
Female,26-32,Married,"Watch movies/listen to music, Play games, Communication/meetings",Google Maps,3-5 hours,Not necessary,Samsung,Product reviews,3,Limited warranty coverage,Less than 15000,Retired
Male,26-32,Working,"Communication, Take photos, Social media","Instagram, Facebook, TikTok",5-6 hours,Not important,Redmi,Product features,5,Outdated system,Less than 15000,Logistics staff
Male,60+,Single,"Take photos/videos, Watch movies/Listen to music, Online shopping","Facebook, Facebook Messenger, Spotify, TikTok",3-5 hours,Somewhat important,Realme 7 5G,Camera,2,Cannot try product before buying,Less than 15000,Civil servant
Male,36-45,Single,Play games,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok",1-3 hours,Somewhat important,Apple,Brand,2,System crashes frequently,Less than 15000,Artist
Female,46-55,Working,"/, Email, Finance",CapCut,>5 hours,Not necessary,Xiaomi,Camera,4,Dead pixels on screen,15001-20000,Freelancer
Female,26-32,Married,"Play esports, Stream games, Community chat","Instagram, Facebook, YouTube, Facebook Messenger, Spotify",1-3 hours,Not important,Samsung,Sensor quality,3,Issues with delivery,Less than 15000,Logistics staff
LGBTQ+,60+,Single,"Watch movies/listen to music, Social media",Google Maps,>5 hours,Not important,Realme 7 5G,Value for money,3,Delivery delays,Less than 15000,Business owner
Male,26-32,Married,"Streaming, Take photos/videos, Edit video",SET,1-3 hours,Highly essential,Calculator,Features,1,Unable to inspect product,15001-20000,Artist
LGBTQ+,26-35,Working,"Track delivery, Customer chat, Email","Instagram, Facebook, YouTube, Facebook Messenger",>5 hours,Highly essential,Oppo,Features,2,Difficult to compare prices,50001-100000,Housewife
Male,18-25,Single,"Social media, Take photos/videos, Watch movies/Listen to music","Instagram, Facebook, YouTube, Spotify, TikTok",5-6 hours,Highly essential,Apple,Reliability,5,Concerns about payment security,Less than 15000,Student
Female,60+,Working,Play games,LINE,3-5 hours,Essential,Huawei,Stability,4,Complex payment process,Less than 15000,Freelancer
Female,26-32,Single,"Watch movies/listen to music, Play games, Take photos","Instagram, YouTube, TikTok",1-3 hours,Somewhat important,Calculator,Value for money,1,Warranty or service concerns,15001-20000,Logistics staff
Male,18-25,Single,"Play games, Take photos/videos, Social media","Facebook, Facebook Messenger, Spotify, TikTok",3-5 hours,Highly essential,Apple,Product features,5,Unable to inspect product,20001-30000,Student
Male,26-35,Married,"Track delivery, Customer chat, Email",Instagram,5-6 hours,Not important,Apple,Ecosystem,1,Product is too expensive,Less than 15000,Office worker
LGBTQ+,26-35,Single,"Cloud apps, Communication/meetings, Social media","YouTube, TikTok",5-6 hours,Not necessary,Realme,Ecosystem,3,Uncertainty about warranty,15001-20000,Artist
Female,33-40,Married,"Watch movies/listen to music, Take photos/videos, Communication/meetings","Facebook, YouTube, Facebook Messenger, TikTok",>5 hours,Highly essential,Huawei,Product features,4,Unable to inspect product,20001-30000,Private company employee
Female,18-25,Married,"Play games, Streaming, Take photos/videos","Instagram, Spotify, TikTok",>5 hours,Not important,Other,Performance,3,Product is too expensive,15001-20000,Employee
Male,56+,Married,"/, Email, Finance",VSCO,3-5 hours,Somewhat important,Redmi,Simplicity,5,Blurry camera,Less than 15000,Retired
Female,26-32,Single,"Watch movies/listen to music, Play games, Take photos","Instagram, YouTube, TikTok",1-3 hours,Somewhat important,Calculator,Value for money,1,Warranty or service concerns,15001-20000,Logistics staff
Female,26-32,Single,"Watch movies/listen to music, Play games, Take photos","Instagram, YouTube, TikTok",1-3 hours,Somewhat important,Calculator,Value for money,1,Warranty or service concerns,15001-20000,Logistics staff
Male,26-32,Married,"Online shopping, Track delivery, Customer chat","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram",3-5 hours,Somewhat important,Other,Features,5,Issues with delivery,Less than 15000,Civil servant
Male,46-55,Married,"Watch movies/listen to music, Play games, Cloud apps",Instagram,0-1 hours,Highly essential,Other,Durability,2,Insufficient storage,Less than 15000,Student
Male,46-55,Student,"Play games, Take photos, Watch movies","Instagram, Facebook, Facebook Messenger, Spotify, TikTok",3-5 hours,Not necessary,Xiaomi,Price,2,Difficult return process,Less than 15000,Artist
LGBTQ+,18-25,Student,"Watch movies, Listen to music, Take photos",Gmail,>5 hours,Not important,Infinix,Reliability,1,Concerns about safety,Less than 15000,Employee
Female,26-35,Student,"Online shopping, Track delivery, Customer chat","Instagram, Facebook, YouTube, Facebook Messenger",3-5 hours,Somewhat important,Samsung,Performance,2,Payment security concerns,Less than 15000,Student
Male,60+,Working,"Watch movies, Play games, Take photos","Instagram, Facebook, Facebook Messenger, TikTok, Telegram",5-6 hours,Highly essential,Oppo,Design,5,Unable to inspect product,30001-50000,Retired
Male,36-45,Working,"Watch movies/listen to music, Play games, Cloud apps",Facebook,0-1 hours,Not necessary,Infinix,Battery,1,Concerns about payment security,Less than 15000,Employee
Male,60+,Single,"Communication, Take photos, Social media","Instagram, Facebook, YouTube, Spotify, TikTok",>5 hours,Essential,Samsung,Value for money,2,Concerns about payment security,Less than 15000,Civil servant
LGBTQ+,33-40,Student,"Watch movies/listen to music, Play games, Communication/meetings",Instagram,1-3 hours,Somewhat important,Xiaomi,Brand,1,System crashes frequently,Less than 15000,Civil servant
Male,18-25,Single,"Watch movies/listen to music, Play games, Social media",Facebook,>5 hours,Highly essential,Redmi,Price,5,Issues with delivery,Less than 15000,Student
Female,46-55,Single,"Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Telegram",1-3 hours,Essential,Infinix,Price,2,Issues with delivery,Less than 15000,Delivery staff
Female,26-35,Student,Watch movies/listen to music,"Instagram, Facebook, Facebook Messenger, TikTok",0-1 hours,Somewhat important,Xiaomi,Camera,4,Payment security concerns,Less than 15000,Online seller
Male,33-40,Single,"Play games, Take photos/videos, Cloud apps",Microsoft Teams,1-3 hours,Somewhat important,Oppo,Durability,1,Delivery delays,15001-20000,Private company employee
LGBTQ+,36-45,Single,"Communication/meetings, Social media","Instagram, Spotify, TikTok",>5 hours,Somewhat important,Redmi,Stability,4,Limited warranty coverage,Less than 15000,Investor
Female,46-55,Single,"Watch movies, Take photos, Listen to music","Instagram, YouTube, Facebook Messenger, Spotify, TikTok",0-1 hours,Somewhat important,Realme 7 5G,Reliability,4,Limited warranty coverage,Less than 15000,Private company employee
Male,26-32,Married,"Streaming, Take photos/videos, Edit video",SET,1-3 hours,Highly essential,Calculator,Features,1,Unable to inspect product,15001-20000,Artist
Female,26-35,Student,"Product photography, Edit reviews, Online marketplace","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",5-6 hours,Essential,Vivo,Brand,4,Product quality doesn't match ads,Less than 15000,Investor
Male,46-55,Single,Play games,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram",3-5 hours,Somewhat important,Vivo,Performance,4,Insufficient storage,Less than 15000,Civil servant
Male,60+,Student,Watch movies/listen to music,"Instagram, YouTube, Facebook Messenger, TikTok",0-1 hours,Somewhat important,Realme,Performance,4,Blurry camera,20001-30000,Factory worker
Male,36-45,Married,"TikTok, Livestream, Search information",Gmail,1-3 hours,Highly essential,Vivo,Performance,1,After-sales service issues,Less than 15000,Student
Male,60+,Student,"Play games, Take photos/videos","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X",3-5 hours,Not important,Apple,Product reviews,4,Blurry camera,20001-30000,Civil servant
LGBTQ+,33-40,Student,"Watch movies, Take photos, Listen to music","Instagram, YouTube, Spotify, Telegram",>5 hours,Somewhat important,Xiaomi,Durability,4,Concerns about payment security,15001-20000,Freelancer
LGBTQ+,56+,Working,"/, Email, Finance",Google Maps,5-6 hours,Somewhat important,Vivo,Stability,4,Delivery delays,20001-30000,Retired
Male,36-45,Student,"Watch movies/listen to music, Take photos/videos, Communication/meetings","Instagram, Facebook, TikTok",5-6 hours,Somewhat important,Samsung,Reliability,3,Cannot try product before buying,Less than 15000,Delivery staff
Male,60+,Student,"Play games, Take photos/videos, Cloud apps",Gmail,>5 hours,Highly essential,Huawei,Ecosystem,5,Insufficient storage,20001-30000,Civil servant
Male,46-55,Single,"Take photos/videos, Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",5-6 hours,Somewhat important,Infinix,Performance,1,Limited warranty coverage,Less than 15000,Private company employee
Male,33-40,Student,Play games,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line",0-1 hours,Not necessary,Other,Features,4,Issues with delivery,Less than 15000,Retired
LGBTQ+,56+,Single,"Play games, Take photos/videos, Cloud apps",Gmail,5-6 hours,Essential,Realme 7 5G,Reliability,4,Concerns about payment security,Less than 15000,Housewife
Male,33-40,Single,"GPS navigation, Check car condition, Listen to podcasts",Shopee,0-1 hours,Highly essential,Huawei,Battery,1,Limited warranty coverage,20001-30000,Civil servant
LGBTQ+,18-25,Single,"Online meetings, Schedule management, Email","Instagram, Facebook, YouTube, Facebook Messenger, Spotify",5-6 hours,Not necessary,Vivo,Performance,1,Product quality doesn't match ads,Less than 15000,Content creator
LGBTQ+,46-55,Student,"Online shopping, Track delivery, Customer chat",LINE,>5 hours,Highly essential,Realme,Simplicity,4,Warranty or service concerns,15001-20000,Online seller
Female,18-25,Single,Play games,YouTube,3-5 hours,Not important,Xiaomi,Performance,1,Difficult to compare prices,25001-35000,Manager
LGBTQ+,26-32,Married,"Online meetings, Schedule management, Email","YouTube, Facebook Messenger, Discord, Wise",3-5 hours,Not important,Samsung,Value for money,4,Outdated system,50001-100000,Investor
LGBTQ+,18-25,Married,"Play games, Streaming, Take photos/videos",TikTok,1-3 hours,Not necessary,Infinix,Brand,2,Payment security concerns,Less than 15000,Housewife
Male,46-55,Single,"Play games, Streaming, Social media","Instagram, Facebook, YouTube",5-6 hours,Not necessary,Infinix,Durability,5,System crashes frequently,Less than 15000,Student
LGBTQ+,60+,Working,"Social media, Take photos/videos, Watch movies/Listen to music","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok",3-5 hours,Somewhat important,Realme,Battery,4,Concerns about after-sales service,20001-30000,Business owner
Male,46-55,Student,"Play games, Streaming, Social media","Instagram, YouTube, Facebook Messenger, TikTok",3-5 hours,Not important,Other,Performance,2,Cannot try product before buying,Less than 15000,Artist
Female,26-35,Student,"/, Email, Finance",Microsoft Teams,3-5 hours,Not necessary,Vivo,Brand,3,Payment security concerns,15001-20000,Freelancer
LGBTQ+,60+,Student,"/, Email, Finance","Instagram, Facebook Messenger, TikTok",1-3 hours,Essential,Realme,Product reviews,4,No problems,20001-30000,Private company employee
Male,46-55,Working,"Watch movies/listen to music, Play games, Communication/meetings","Instagram, Facebook, TikTok",3-5 hours,Highly essential,Realme 7 5G,Brand,5,No problems,Less than 15000,Housewife
Female,36-45,Married,"Online shopping, Track delivery, Customer chat",LINE,1-3 hours,Essential,Samsung,Reliability,4,Difficult return process,30001-50000,Housewife
Male,36-45,Working,"Watch movies/listen to music, Play games, Cloud apps",Facebook,0-1 hours,Not necessary,Infinix,Battery,1,Concerns about payment security,Less than 15000,Employee
Male,46-55,Single,"Watch movies, Take photos, Listen to music","Facebook, YouTube",5-6 hours,Highly essential,Oppo,Simplicity,1,Concerns about safety,100001-150000,Housewife
Male,60+,Single,"Play games, Take photos/videos","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram",>5 hours,Not necessary,Apple,Product features,4,Issues with delivery, 50001 ,Student
Female,60+,Working,"Social media, Take photos/videos, Watch movies/Listen to music","Instagram, Spotify, TikTok",>5 hours,Not important,Realme 7 5G,Performance,1,Difficult to compare prices,Less than 15000,Content creator
LGBTQ+,36-45,Single,"Communication/meetings, Social media","Instagram, Spotify, TikTok",>5 hours,Somewhat important,Redmi,Stability,4,Limited warranty coverage,Less than 15000,Investor
Female,33-40,Working,"Read news, Check stocks, Finance","Instagram, YouTube, Facebook Messenger, Spotify, TikTok",3-5 hours,Not important,Redmi,Battery,2,Device overheats,Less than 15000,Retired
Female,18-25,Student,"Communication, Take photos, Social media","Facebook, TikTok, Line",5-6 hours,Not important,Xiaomi,Durability,4,Payment issues,25001-35000,Online seller
Female,56+,Working,"Communication, Take photos, Social media",Shopee,>5 hours,Somewhat important,Samsung,Ecosystem,5,Complex payment process,50001-100000,Office worker
Female,18-25,Single,"Product photography, Edit reviews, Online marketplace","Instagram, YouTube, Facebook Messenger, TikTok",1-3 hours,Essential,Apple,Camera,4,Complex payment process, 50001 ,Investor
Female,60+,Single,"Online meetings, Schedule management, Email",Google Maps,5-6 hours,Not necessary,Realme 7 5G,Simplicity,3,Difficult to compare prices,Less than 15000,Factory worker
Female,26-32,Student,"Watch movies, Take photos, Listen to music","Instagram, YouTube, Spotify, Telegram",0-1 hours,Not important,Realme,Design,1,Warranty or service concerns,20001-30000,Employee
LGBTQ+,46-55,Single,"Email, , Finance",Microsoft Teams,1-3 hours,Not necessary,Oppo,Sensor quality,5,No problems,15001-20000,Freelancer
LGBTQ+,46-55,Married,"Play esports, Stream games, Community chat",Google Maps,1-3 hours,Somewhat important,Apple,Design,5,Warranty or service concerns,50001-100000,Online seller
Male,56+,Married,"/, Email, Finance",VSCO,3-5 hours,Somewhat important,Redmi,Simplicity,5,Blurry camera,Less than 15000,Retired
Female,33-40,Student,"Communication, Take photos, Social media",Facebook,1-3 hours,Not important,Other,Design,3,Blurry camera,Less than 15000,Logistics staff
Male,18-25,Single,"Watch movies/listen to music, Play games, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",>5 hours,Highly essential,Infinix,Product features,4,Warranty or service concerns,Less than 15000,Student
LGBTQ+,26-35,Working,Watch movies/listen to music,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok",0-1 hours,Not necessary,Vivo,Simplicity,1,Uncertainty about after-sales service,Less than 15000,Retired
Male,18-25,Working,"/, Email, Finance","Instagram, Facebook, YouTube, TikTok",5-6 hours,Not important,Vivo,Brand,1,Limited warranty coverage,Less than 15000,Content creator
LGBTQ+,33-40,Married,"Cloud apps, Communication/meetings, Social media","Instagram, Facebook Messenger, TikTok",3-5 hours,Essential,Realme,Features,2,Product quality doesn't match ads,Less than 15000,Delivery staff
Male,18-25,Single,"Watch movies/listen to music, Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram",1-3 hours,Highly essential,Calculator,Product features,5,Concerns about payment security,15001-20000,Student
LGBTQ+,56+,Single,"Email, , Finance","YouTube, TikTok",0-1 hours,Somewhat important,Infinix,Product features,2,Issues with delivery,Less than 15000,Manager
Male,60+,Single,"Social media, Take photos/videos, Watch movies/Listen to music",Gmail,5-6 hours,Somewhat important,Apple,Reliability,4,Concerns about warranty,Less than 15000,Logistics staff
LGBTQ+,36-45,Student,"Social media, Take photos/videos, Watch movies/Listen to music","Instagram, Facebook, YouTube, Facebook Messenger, TikTok",>5 hours,Essential,Oppo,Durability,5,Cannot try product before buying,15001-20000,Freelancer
Female,18-25,Married,"Watch movies/listen to music, Play games, Cloud apps","Instagram, Facebook, TikTok",3-5 hours,Not necessary,Realme 7 5G,Sensor quality,2,Payment issues,Less than 15000,Logistics staff
Female,26-35,Working,"Read news, Check stocks, Finance","Instagram, Facebook, YouTube",5-6 hours,Not important,Realme 7 5G,Reliability,5,Payment issues,Less than 15000,Artist
LGBTQ+,46-55,Married,"Track delivery, Customer chat, Email","Instagram, YouTube, Spotify, TikTok",3-5 hours,Not necessary,Infinix,Durability,2,Complex payment process,Less than 15000,Freelancer
Male,26-32,Married,"Streaming, Take photos/videos, Edit video",SET,1-3 hours,Highly essential,Calculator,Features,1,Unable to inspect product,15001-20000,Artist
LGBTQ+,33-40,Working,"Communication/meetings, Social media","Instagram, Facebook, Facebook Messenger, TikTok, Telegram",5-6 hours,Essential,Vivo,Sensor quality,2,Delivery delays,Less than 15000,Student
LGBTQ+,18-25,Student,"Watch movies/listen to music, Take photos/videos",Shopee,3-5 hours,Somewhat important,Redmi,Price,1,Product is too expensive,Less than 15000,Private company employee
Male,26-35,Married,"Play games, Take photos/videos","Instagram, YouTube, Facebook Messenger, Spotify, TikTok",>5 hours,Not necessary,Huawei,Simplicity,1,Cannot try product before buying,20001-30000,Retired
Male,56+,Married,"Track delivery, Customer chat, Email","Instagram, Facebook Messenger, TikTok",0-1 hours,Not important,Realme 7 5G,Durability,2,Limited warranty coverage,Less than 15000,Civil servant
Female,26-32,Single,"Watch movies/listen to music, Play games, Take photos","Instagram, YouTube, TikTok",1-3 hours,Somewhat important,Calculator,Value for money,1,Warranty or service concerns,15001-20000,Logistics staff
Male,60+,Student,"Take photos/videos, Watch movies/Listen to music, Online shopping","Instagram, YouTube, Spotify, Telegram",3-5 hours,Highly essential,Samsung,Price,4,Difficult return process,Less than 15000,Employee
LGBTQ+,33-40,Working,"Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger",1-3 hours,Essential,Vivo,Design,1,Difficult return process,Less than 15000,Freelancer
Male,60+,Student,"Product photography, Edit reviews, Online marketplace","Instagram, Facebook, Facebook Messenger, TikTok",0-1 hours,Essential,Huawei,Ecosystem,5,Concerns about safety,20001-30000,Civil servant
LGBTQ+,26-32,Student,Play games,LINE,1-3 hours,Not important,Samsung,Simplicity,4,Concerns about safety,50001-100000,Investor
