Gender,Age_range,Status,Occupation,Monthly_income,Daily_usage_duration,Smartphone_importance,Key_factor_online_purchase,Brand_satisfaction,Purchase_problem,Frequent_apps,Top3_smartphone_activities,Current_brand
Male,60+,Married,Private company employee,15001-20000,3-5 hours,Not necessary,Product feature,2,Unable to inspect product,"Facebook, YouTube, Facebook Messenger, TikTok","Play games, Watch movies, Take photos",Vivo
Male,33-40,Single,Private company employee,15001-20000,,Most necessary,Price,5,Unable to inspect product,Microsoft Teams,"Social media, Take photos/videos, Watch movies/Listen to music",Vivo
Male,18-25,Single,Student,15001-20000,More than 5 hours,Most necessary,Product review,3,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok","Watch movies/listen to music, Play games, Social media",Samsung
Female,60+,Single,Private company employee,30001-40000,1-3 hours,Not necessary,Product feature,1,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line","TikTok, Livestream, Search information",Samsung
Male,41-50,Single,Business owner,15001-20000,3-5 hours,Not necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, YouTube","Watch movies/listen to music, Take photos/videos, Communication/meetings",Samsung
Male,26-32,Married,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,3,Unable to inspect product,"Facebook, YouTube","Watch movies/listen to music, Play games, Cloud apps",Apple
Male,60+,Single,Private company employee,15001-20000,3-5 hours,Not necessary,Product feature,4,Delivery delay,"Instagram, Facebook Messenger, TikTok","Play games, Take photos/videos, Social media",Xiaomi
Female,60+,Single,Business owner,15001-20000,More than 5 hours,Not necessary,Product feature,3,Delivery delay,Google Maps,"Watch movies/listen to music, Social media",Realme 7 5G
Male,26-32,Married,Student,15001-20000,,Most necessary,Product review,3,Warranty or service concerns,CapCut,"Play esports, Stream games, Community chat",Xiaomi
Male,41-50,Single,Student,15001-20000,3-5 hours,Not necessary,Product feature,1,Unable to inspect product,Microsoft Teams,"Play games, Take photos/videos, Cloud apps",Oppo
Male,18-25,Single,Private company employee,More than 50001,3-5 hours,Not necessary,Product feature,5,Warranty or service concerns,"Instagram, TikTok","Watch movies/listen to music, Play games, Take photos/videos",Oppo
Female,26-32,Single,Business owner,15001-20000,,Most necessary,Product feature,4,Unable to inspect product,Shopee,"Watch movies, Listen to music, Take photos",Oppo
Male,33-40,Single,Private company employee,15001-20000,,Necessary,Product feature,2,Unable to inspect product,VSCO,"Watch movies/listen to music, Take photos/videos",Realme
Male,26-32,Single,Private company employee,15001-20000,,Most necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, YouTube","Online shopping, Track delivery, Customer chat",Xiaomi
Female,26-32,Single,Business owner,15001-20000,,Most necessary,Product feature,4,Unable to inspect product,"Facebook, Facebook Messenger, Line","Play games, Streaming, Social media",Xiaomi
Male,18-25,Single,Student,15001-20000,More than 5 hours,Most necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, Spotify, TikTok","Watch movies/listen to music, Take photos/videos, Social media",Apple
Male,26-32,Single,Factory worker,20001-30000,,Most necessary,Price,3,Concerns about payment security,"Instagram, Facebook, Facebook Messenger, Spotify, TikTok","Watch movies/listen to music, Take photos/videos, Communication/meetings",Realme
Male,26-32,Married,Private company employee,15001-20000,0-1 hours,Not necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, TikTok","Take photos, Listen to music, Social media",Xiaomi
Male,60+,Single,Factory worker,More than 50001,1-3 hours,Not necessary,Product feature,1,Unable to inspect product,Discord,"Email, , Finance",Samsung
Female,33-40,Single,Business owner,15001-20000,More than 5 hours,Necessary,Product feature,4,Warranty or service concerns,LINE,"Watch movies/listen to music, Play games, Cloud apps",Oppo
Male,33-40,Single,Private company employee,30001-40000,,Necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram","Watch movies/listen to music, Social media",Samsung
Female,60+,Single,Factory worker,15001-20000,,Not necessary,Product feature,3,Unable to inspect product,Google Maps,"Online meetings, Schedule management, Email",Realme 7 5G
Male,18-25,Single,Private company employee,15001-20000,More than 5 hours,Necessary,Product feature,1,Concerns about payment security,Microsoft Teams,"Play games, Take photos/videos",Realme
Female,26-32,Single,Business owner,More than 50001,,Not necessary,Product feature,5,Unable to inspect product,Shopee,"Play games, Streaming, Social media",Apple
Male,60+,Married,Business owner,15001-20000,More than 5 hours,Not necessary,Product feature,4,Unable to inspect product,WhatsApp,"Cloud apps, Communication/meetings, Social media",Samsung
Female,26-32,Single,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,4,Warranty or service concerns,Instagram,"Watch movies, Take photos, Listen to music",Vivo
Female,33-40,Single,Private company employee,15001-20000,0-1 hours,Not necessary,Product feature,2,Unable to inspect product,"Instagram, YouTube, Spotify, Telegram","Streaming, Take photos/videos, Edit video",Realme
Male,18-25,Single,Business owner,15001-20000,1-3 hours,Necessary,Product feature,5,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram","Watch movies/listen to music, Play games, Communication/meetings",Huawei
Female,33-40,Married,Student,15001-20000,,Not necessary,Product feature,3,Unable to inspect product,"Instagram, TikTok","Watch movies/listen to music, Take photos/videos, Communication/meetings",Samsung
Female,18-25,Single,Private company employee,15001-20000,,Not necessary,Product feature,1,Unable to inspect product,CapCut,"Track delivery, Customer chat, Email",Realme
Female,60+,Single,Private company employee,20001-30000,3-5 hours,Not necessary,Product feature,5,Delivery delay,"Facebook, Facebook Messenger, Spotify, TikTok","Online shopping, Track delivery, Customer chat",Huawei
Female,26-32,Married,Student,15001-20000,1-3 hours,Necessary,Product feature,2,Unable to inspect product,Telegram,"Email, , Finance",Vivo
Female,60+,Single,Business owner,15001-20000,3-5 hours,Most necessary,Price,2,Delivery delay,Facebook,"Take photos, Listen to music, Social media",Vivo
Female,33-40,Single,Business owner,15001-20000,More than 5 hours,Necessary,Product feature,1,Warranty or service concerns,VSCO,"Watch movies/listen to music, Play games, Cloud apps",Apple
Female,60+,Single,Government officer,15001-20000,More than 5 hours,Not necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, TikTok","Play games, Take photos/videos, Social media",Xiaomi
Male,60+,Single,Business owner,15001-20000,More than 5 hours,Necessary,Price,1,Unable to inspect product,CapCut,"Streaming, Take photos/videos, Edit video",Vivo
Female,18-25,Single,Business owner,15001-20000,,Not necessary,Product feature,4,Unable to inspect product,"Facebook, YouTube, Facebook Messenger, TikTok","Online shopping, Social media, Finance",Oppo
Male,26-32,Single,Government officer,15001-20000,0-1 hours,Not necessary,Product review,5,Unable to inspect product,WhatsApp,"/, Email, Finance",Vivo
Female,60+,Single,Private company employee,More than 50001,0-1 hours,Not necessary,Product feature,5,Delivery delay,Gmail,"Communication/meetings, Social media",Apple
Female,33-40,Single,Student,More than 50001,3-5 hours,Most necessary,Product feature,4,Delivery delay,"YouTube, TikTok","Watch movies, Listen to music, Take photos",Samsung
Male,26-32,Single,Business owner,15001-20000,3-5 hours,Necessary,Price,2,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X","Watch movies/listen to music, Play games, Social media",Apple
Female,41-50,Single,Student,More than 50001,0-1 hours,Necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Telegram","Streaming, Take photos/videos, Edit video",Samsung
Male,18-25,Single,Private company employee,More than 50001,0-1 hours,Necessary,Product feature,1,Warranty or service concerns,TikTok,"Play games, Streaming, Social media",Samsung
Female,41-50,Single,Business owner,15001-20000,More than 5 hours,Not necessary,Price,4,Unable to inspect product,"Instagram, YouTube, Spotify, TikTok","Watch movies/listen to music, Play games, Cloud apps",Oppo
Female,26-32,Married,Student,More than 50001,More than 5 hours,Necessary,Product feature,3,Warranty or service concerns,"Facebook, YouTube, Facebook Messenger, Spotify","Chat with family, Read e-books, Listen to radio",Oppo
Female,60+,Single,Government officer,15001-20000,,Not necessary,Product feature,4,Unable to inspect product,VSCO,"Watch movies, Take photos, Listen to music",Realme
Male,18-25,Single,Government officer,15001-20000,3-5 hours,Not necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram","Play games, Take photos/videos, Cloud apps",Xiaomi
Female,33-40,Married,Business owner,20001-30000,,Most necessary,Product feature,5,Unable to inspect product,Gmail,"Communication/meetings, Social media",Xiaomi
Male,41-50,Married,Business owner,15001-20000,More than 5 hours,Not necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram",Play games,Xiaomi
Male,33-40,Single,Student,20001-30000,0-1 hours,Most necessary,Product feature,5,Delivery delay,"Instagram, Spotify, TikTok","Play games, Take photos/videos, Cloud apps",Huawei
Male,41-50,Single,Government officer,15001-20000,0-1 hours,Necessary,Product feature,2,Delivery delay,CapCut,"Play games, Take photos/videos",Vivo
Male,33-40,Married,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,1,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line","Chat with family, Read e-books, Listen to radio",Realme
Male,26-32,Single,Private company employee,15001-20000,3-5 hours,Not necessary,Product review,3,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram","Watch movies/listen to music, Play games, Social media",Apple
Male,18-25,Single,Private company employee,30001-40000,0-1 hours,Necessary,Product feature,5,Unable to inspect product,"Facebook, Facebook Messenger, Line","Read news, Check stocks, Finance",Samsung
Female,33-40,Single,Government officer,15001-20000,0-1 hours,Not necessary,Product feature,3,Warranty or service concerns,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok","Watch movies/listen to music, Play games, Communication/meetings",Huawei
Female,33-40,Single,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,3,Unable to inspect product,"Instagram, YouTube, Facebook Messenger, Spotify, TikTok","Play games, Take photos/videos",Apple
Male,33-40,Single,Business owner,15001-20000,0-1 hours,Not necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X","Art photography, Video editing, Upload stories",Apple
Male,18-25,Single,Student,20001-30000,3-5 hours,Most necessary,Product feature,5,Warranty or service concerns,Instagram,"Watch movies/listen to music, Take photos/videos, Social media",Apple
Male,60+,Single,Private company employee,15001-20000,,Necessary,Product feature,1,Unable to inspect product,"Instagram, YouTube, Spotify, Telegram","Watch movies/listen to music, Take photos/videos",Realme
Male,33-40,Married,Business owner,15001-20000,1-3 hours,Necessary,Product feature,2,Concerns about payment security,"Instagram, YouTube, TikTok","Watch movies/listen to music, Take photos/videos, Communication/meetings",Realme
Male,18-25,Single,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, TikTok, LINE","Play esports, Stream games, Community chat",Samsung
Male,33-40,Single,Student,15001-20000,0-1 hours,Not necessary,Product feature,2,Concerns about payment security,Instagram,"Watch movies/listen to music, Play games, Take photos",Xiaomi
Male,33-40,Single,Business owner,15001-20000,0-1 hours,Necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok","Online shopping, Track delivery, Customer chat",Realme
Female,18-25,Single,Business owner,15001-20000,0-1 hours,Most necessary,Product feature,2,Warranty or service concerns,WhatsApp,"Play games, Take photos/videos, Cloud apps",Apple
Male,41-50,Single,Business owner,20001-30000,More than 5 hours,Most necessary,Product feature,2,Concerns about payment security,"Instagram, Facebook, Facebook Messenger, TikTok","GPS navigation, Check car condition, Listen to podcasts",Xiaomi
Female,60+,Single,Private company employee,15001-20000,3-5 hours,Most necessary,Product feature,1,Unable to inspect product,Microsoft Teams,"Play games, Watch movies, Take photos",Apple
Female,60+,Single,Student,15001-20000,,Necessary,Product feature,3,Warranty or service concerns,TikTok,"Watch movies/listen to music, Play games, Take photos/videos",Realme
Female,18-25,Married,Business owner,15001-20000,0-1 hours,Necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, TikTok","Play games, Streaming, Social media",Realme
Female,33-40,Single,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,5,Warranty or service concerns,Facebook,"Take photos/videos, Communication/meetings, Social media",Realme
Female,18-25,Single,Private company employee,30001-40000,0-1 hours,Not necessary,Product feature,5,Warranty or service concerns,"Instagram, Facebook, YouTube","Take photos, Listen to music, Social media",Oppo
Male,33-40,Single,Private company employee,15001-20000,3-5 hours,Most necessary,Product feature,1,Warranty or service concerns,"Instagram, YouTube, Facebook Messenger, Spotify, TikTok","Watch movies/listen to music, Communication/meetings, Social media",Infinix
Female,60+,Married,Business owner,15001-20000,More than 5 hours,Not necessary,Product feature,2,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line","Play games, Take photos/videos, Social media",Apple
Female,60+,Single,Business owner,15001-20000,0-1 hours,Most necessary,Product feature,2,Unable to inspect product,"Facebook, TikTok, Line","Watch movies/listen to music, Play games, Social media",Infinix
Male,60+,Single,Private company employee,15001-20000,More than 5 hours,Necessary,Product feature,5,Warranty or service concerns,Instagram,"Communication, Take photos, Social media",Samsung
Female,33-40,Single,Private company employee,15001-20000,More than 5 hours,Necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, YouTube","Watch movies/listen to music, Play games, Take photos",Xiaomi
Male,18-25,Single,Business owner,15001-20000,3-5 hours,Necessary,Product feature,1,Unable to inspect product,Telegram,"Play esports, Stream games, Community chat",Apple
Male,33-40,Single,Private company employee,20001-30000,3-5 hours,Necessary,Product feature,2,Unable to inspect product,"Facebook, Facebook Messenger, Line","Take photos/videos, Communication/meetings, Social media",Vivo
Male,41-50,Single,Private company employee,20001-30000,More than 5 hours,Not necessary,Product feature,3,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger, Telegram",Watch movies/listen to music,Apple
Male,60+,Married,Private company employee,More than 50001,0-1 hours,Not necessary,Product feature,1,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","/, Email, Finance",Apple
Male,41-50,Married,Private company employee,15001-20000,,Necessary,Product review,4,Delivery delay,Google Maps,"Watch movies/listen to music, Take photos/videos",Xiaomi
Male,33-40,Single,Government officer,15001-20000,1-3 hours,Necessary,Product feature,5,Concerns about payment security,"Instagram, Facebook, Facebook Messenger, Spotify, TikTok","Watch movies/listen to music, Play games, Social media",Vivo
Male,26-32,Single,Private company employee,15001-20000,3-5 hours,Not necessary,Price,2,Unable to inspect product,TikTok,"Online shopping, Social media, Finance",Xiaomi
Female,41-50,Single,Business owner,15001-20000,3-5 hours,Necessary,Product feature,1,Delivery delay,Google Maps,"Play games, Streaming, Social media",Realme
Female,33-40,Single,Private company employee,20001-30000,3-5 hours,Necessary,Product feature,3,Delivery delay,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X","Product photography, Edit reviews, Online marketplace",Vivo
Male,33-40,Single,Private company employee,15001-20000,0-1 hours,Not necessary,Product feature,4,Concerns about payment security,"Instagram, Facebook, YouTube, Spotify, TikTok","Communication/meetings, Social media",Xiaomi
Male,60+,Married,Government officer,15001-20000,More than 5 hours,Most necessary,Product feature,3,Unable to inspect product,"Facebook, YouTube, Facebook Messenger, Spotify","Streaming, Take photos/videos, Edit video",Xiaomi
Male,60+,Single,Business owner,20001-30000,1-3 hours,Necessary,Price,5,Unable to inspect product,"Instagram, YouTube, TikTok",Watch movies/listen to music,Vivo
Female,60+,Married,Private company employee,15001-20000,0-1 hours,Not necessary,Product feature,3,Delivery delay,"Facebook, YouTube, Facebook Messenger","Read news, Check stocks, Finance",Apple
Female,18-25,Married,Private company employee,15001-20000,1-3 hours,Not necessary,Product feature,1,Unable to inspect product,"Instagram, YouTube, TikTok","Watch movies/listen to music, Take photos/videos, Communication/meetings",Apple
Male,60+,Married,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,1,Unable to inspect product,CapCut,"Watch movies/listen to music, Play games, Cloud apps",Vivo
Female,26-32,Single,Factory worker,20001-30000,1-3 hours,Most necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok","Cloud apps, Communication/meetings, Social media",Apple
Male,33-40,Single,Business owner,More than 50001,0-1 hours,Necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Play games, Watch movies, Take photos",Oppo
Female,26-32,Single,Student,More than 50001,More than 5 hours,Necessary,Product feature,1,Unable to inspect product,"Facebook, YouTube","Social media, Take photos/videos, Watch movies/Listen to music",Apple
Female,60+,Married,Government officer,30001-40000,,Not necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram","Watch movies/listen to music, Communication/meetings, Social media",Oppo
Male,26-32,Single,Business owner,More than 50001,,Necessary,Product feature,4,Warranty or service concerns,"Instagram, Facebook, TikTok","Cloud apps, Communication/meetings, Social media",Apple
Male,26-32,Single,Private company employee,15001-20000,More than 5 hours,Necessary,Price,3,Unable to inspect product,TikTok,"Play games, Watch movies, Take photos",Vivo
Female,33-40,Single,Private company employee,15001-20000,0-1 hours,Necessary,Product feature,3,Concerns about payment security,"Instagram, YouTube, TikTok",Play games,Samsung
Male,18-25,Single,Private company employee,15001-20000,1-3 hours,Not necessary,Product feature,5,Unable to inspect product,"Instagram, TikTok","Play games, Streaming, Social media",Xiaomi
Male,60+,Single,Private company employee,15001-20000,0-1 hours,Most necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X","Play esports, Stream games, Community chat",Xiaomi
Female,33-40,Single,Business owner,20001-30000,More than 5 hours,Necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Chat with family, Read e-books, Listen to radio",Xiaomi
Male,18-25,Married,Private company employee,15001-20000,1-3 hours,Most necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Telegram","Watch movies/listen to music, Take photos/videos",Xiaomi
Female,18-25,Single,Factory worker,More than 50001,3-5 hours,Most necessary,Product feature,5,Warranty or service concerns,"Instagram, Facebook, YouTube, TikTok","Watch movies, Take photos, Listen to music",Samsung
Female,18-25,Married,Business owner,15001-20000,3-5 hours,Not necessary,Product feature,4,Warranty or service concerns,Instagram,"Watch movies/listen to music, Play games, Communication/meetings",Huawei
Female,33-40,Single,Private company employee,20001-30000,3-5 hours,Not necessary,Product feature,3,Warranty or service concerns,"Facebook, YouTube, Facebook Messenger, Spotify","Watch movies, Play games, Take photos",Realme
Female,60+,Single,Business owner,20001-30000,3-5 hours,Necessary,Product feature,2,Unable to inspect product,Facebook Messenger,"Watch movies/listen to music, Play games, Take photos",Vivo
Male,26-32,Single,Private company employee,15001-20000,,Necessary,Product feature,5,Unable to inspect product,"Facebook, YouTube, Facebook Messenger, TikTok",Watch movies/listen to music,Huawei
Male,60+,Married,Private company employee,30001-40000,0-1 hours,Necessary,Product feature,3,Unable to inspect product,SET,"Play games, Take photos/videos",Oppo
Female,60+,Married,Private company employee,15001-20000,More than 5 hours,Most necessary,Product feature,3,Warranty or service concerns,"Instagram, YouTube, Facebook Messenger, TikTok","Social media, Take photos/videos, Watch movies/Listen to music",Samsung
Male,60+,Single,Student,15001-20000,,Not necessary,Product feature,2,Unable to inspect product,"Instagram, YouTube, Spotify, Telegram","Watch movies/listen to music, Play games",Samsung
Male,60+,Married,Business owner,15001-20000,,Not necessary,Product feature,2,Warranty or service concerns,"Facebook, Facebook Messenger, Spotify, TikTok","Communication, Take photos, Social media",Xiaomi
Male,33-40,Married,Private company employee,15001-20000,3-5 hours,Not necessary,Product feature,2,Warranty or service concerns,"Instagram, YouTube, TikTok","Play games, Take photos/videos, Social media",Samsung
Male,60+,Single,Business owner,15001-20000,3-5 hours,Not necessary,Product feature,2,Warranty or service concerns,Discord,"Watch movies/listen to music, Take photos/videos",Samsung
Female,26-32,Single,Student,More than 50001,3-5 hours,Necessary,Product feature,1,Unable to inspect product,WhatsApp,"Email, , Finance",Apple
Female,26-32,Married,Private company employee,15001-20000,0-1 hours,Not necessary,Product feature,4,Unable to inspect product,"Facebook, TikTok, Line","Communication, Take photos, Social media",Huawei
Female,18-25,Married,Private company employee,15001-20000,3-5 hours,Most necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line","Play games, Take photos/videos, Cloud apps",Samsung
Male,26-32,Single,Business owner,More than 50001,,Necessary,Product feature,3,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify","Communication, Take photos, Social media",Samsung
Female,18-25,Single,Private company employee,15001-20000,,Necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok","Play esports, Stream games, Community chat",Realme
Male,18-25,Single,Private company employee,15001-20000,,Necessary,Product feature,5,Warranty or service concerns,TikTok,"Watch movies/listen to music, Take photos/videos, Communication/meetings",Vivo
Male,33-40,Single,Business owner,15001-20000,1-3 hours,Necessary,Product feature,2,Unable to inspect product,Shopee,"Watch movies/listen to music, Communication/meetings, Social media",Realme
Male,60+,Single,Business owner,15001-20000,,Necessary,Product feature,2,Warranty or service concerns,"Instagram, YouTube, TikTok","Art photography, Video editing, Upload stories",Huawei
Female,26-32,Single,Private company employee,15001-20000,1-3 hours,Not necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, YouTube, Spotify, TikTok","Watch movies/listen to music, Social media",Samsung
Male,60+,Single,Private company employee,15001-20000,1-3 hours,Not necessary,Product feature,5,Concerns about payment security,Discord,Play games,Vivo
Male,18-25,Single,Private company employee,More than 50001,1-3 hours,Necessary,Product feature,2,Unable to inspect product,LINE,"Take photos, Listen to music, Social media",Oppo
Female,60+,Single,Student,15001-20000,More than 5 hours,Not necessary,Product feature,1,Concerns about payment security,WhatsApp,"Track delivery, Customer chat, Email",Oppo
Female,33-40,Single,Business owner,15001-20000,0-1 hours,Not necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, TikTok","Communication/meetings, Social media",Xiaomi
Female,26-32,Single,Factory worker,15001-20000,3-5 hours,Not necessary,Product feature,5,Unable to inspect product,WhatsApp,"Take photos, Listen to music, Social media",Realme
Male,18-25,Married,Business owner,15001-20000,1-3 hours,Necessary,Product feature,1,Warranty or service concerns,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok","Play esports, Stream games, Community chat",Vivo
Female,26-32,Married,Business owner,20001-30000,,Not necessary,Product feature,5,Warranty or service concerns,SET,"Play esports, Stream games, Community chat",Vivo
Male,33-40,Single,Private company employee,20001-30000,0-1 hours,Necessary,Product feature,4,Unable to inspect product,"Instagram, YouTube, Facebook Messenger, TikTok","Play esports, Stream games, Community chat",Realme
Female,26-32,Single,Student,More than 50001,3-5 hours,Not necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, TikTok, LINE","Watch movies/listen to music, Play games, Social media",Oppo
Female,41-50,Married,Private company employee,20001-30000,3-5 hours,Necessary,Price,5,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line","Take photos, Listen to music, Social media",Vivo
Male,18-25,Single,Private company employee,15001-20000,1-3 hours,Most necessary,Product review,1,Warranty or service concerns,YouTube,"Watch movies/listen to music, Play games, Take photos/videos",Apple
Female,33-40,Married,Private company employee,20001-30000,,Most necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Telegram",Watch movies/listen to music,Realme
Male,26-32,Single,Government officer,20001-30000,1-3 hours,Not necessary,Product feature,3,Warranty or service concerns,"Facebook, YouTube, Facebook Messenger, TikTok","Watch movies, Play games, Take photos",Huawei
Male,41-50,Single,Private company employee,30001-40000,0-1 hours,Not necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Take photos/videos, Communication/meetings, Social media",Apple
Male,41-50,Single,Government officer,More than 50001,,Not necessary,Product review,5,Delivery delay,Google Maps,"Take photos/videos, Watch movies/Listen to music, Online shopping",Samsung
Male,41-50,Single,Business owner,15001-20000,0-1 hours,Not necessary,Price,1,Warranty or service concerns,"Facebook, YouTube, Facebook Messenger, TikTok","Watch movies/listen to music, Take photos/videos, Communication/meetings",Oppo
Female,60+,Married,Business owner,15001-20000,More than 5 hours,Not necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok",Play games,Apple
Male,33-40,Single,Business owner,15001-20000,More than 5 hours,Necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, TikTok","Read news, Check stocks, Finance",Xiaomi
Male,60+,Single,Private company employee,15001-20000,0-1 hours,Most necessary,Price,4,Warranty or service concerns,"Instagram, YouTube, Facebook Messenger, TikTok",Watch movies/listen to music,Xiaomi
Male,60+,Single,Private company employee,30001-40000,3-5 hours,Necessary,Product feature,3,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram","Play games, Take photos/videos",Oppo
Female,33-40,Single,Student,15001-20000,0-1 hours,Most necessary,Product feature,2,Unable to inspect product,"Instagram, TikTok",Watch movies/listen to music,Apple
Male,60+,Married,Business owner,30001-40000,3-5 hours,Necessary,Product feature,4,Warranty or service concerns,"Facebook, YouTube, Facebook Messenger, Spotify","Chat with family, Read e-books, Listen to radio",Samsung
Male,26-32,Single,Business owner,15001-20000,3-5 hours,Necessary,Product feature,5,Delivery delay,"YouTube, TikTok","Watch movies/listen to music, Play games, Communication/meetings",Oppo
Female,33-40,Married,Business owner,15001-20000,,Not necessary,Product feature,3,Warranty or service concerns,"Instagram, Facebook, TikTok","Play games, Watch movies, Take photos",Oppo
Male,33-40,Single,Business owner,15001-20000,0-1 hours,Not necessary,Product feature,5,Unable to inspect product,Gmail,"Cloud apps, Communication/meetings, Social media",Samsung
Female,60+,Single,Business owner,15001-20000,,Most necessary,Product feature,2,Unable to inspect product,"Facebook, Facebook Messenger, Line","Watch movies/listen to music, Take photos/videos, Social media",Xiaomi
Male,18-25,Single,Private company employee,15001-20000,1-3 hours,Most necessary,Product feature,1,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok","Play games, Streaming, Social media",Realme
Male,60+,Married,Private company employee,15001-20000,0-1 hours,Most necessary,Product feature,3,Unable to inspect product,Instagram,"Watch movies/listen to music, Play games, Take photos/videos",Apple
Female,60+,Single,Business owner,15001-20000,More than 5 hours,Not necessary,Product feature,1,Warranty or service concerns,"Instagram, YouTube, TikTok","Communication/meetings, Social media",Xiaomi
Male,26-32,Single,Business owner,15001-20000,1-3 hours,Not necessary,Product feature,5,Unable to inspect product,"YouTube, TikTok","Streaming, Take photos/videos, Edit video",Realme 7 5G
Female,26-32,Single,Private company employee,15001-20000,3-5 hours,Necessary,Product feature,1,Concerns about payment security,"Instagram, Facebook, YouTube, Spotify, TikTok","Cloud apps, Communication/meetings, Social media",Infinix
Male,60+,Single,Private company employee,15001-20000,3-5 hours,Most necessary,Product review,2,Unable to inspect product,LINE,"Email, , Finance",Samsung
Male,60+,Single,Private company employee,20001-30000,1-3 hours,Not necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, YouTube, TikTok","/, Email, Finance",Vivo
Female,33-40,Married,Business owner,30001-40000,1-3 hours,Necessary,Price,3,Unable to inspect product,LINE,"/, Email, Finance",Oppo
